# URL, NAME, TIME, DURATION, DATES, VENUE, RATING
https://freefringe.org.uk/shows/david-alnwick-occult-illusionist/, DAVID ALNWICK: OCCULT ILLUSIONIST, 16:40, 1:00, 9 10 11 12 13 14 15 16 17, Banshee Labyrinth, 1
https://freefringe.org.uk/shows/nerd-mentality-duel-to-the-death/, NERD MENTALITY: DUEL! TO THE DEATH!, 15:10, 0:50, 11 12 13 14 15 16, Carbon – Room 1 (venue 180), 1
