Les Dawson: Flying High,16:30,Assembly George Square,1:00,19 20 21 22 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/les-dawson-flying-high
Man Who Thought He Knew Too Much,13:10,Pleasance Dome,1:00,19 20 21 22 23 24 25 26 27 28 29,1,https://tickets.edfringe.com/whats-on/man-who-thought-he-knew-too-much
Manic Street Creature,15:55,ROUNDABOUT @ Summerhall,1:10,19 20 21 22 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/manic-street-creature
Mat Ricardo: The Extraordinary Gentleman,12:15,Gilded Balloon Teviot,1:00,19 20 21 22 23 24 25 26 27 28,0,https://tickets.edfringe.com/whats-on/mat-ricardo-the-extraordinary-gentleman
Mind Mangler: Member of the Tragic Circle,21:30,Pleasance Courtyard,1:00,19 20 21 22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/mind-mangler-member-of-the-tragic-circle
Mistake,10:45,theSpace on North Bridge,1:20,19 20 21 22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/mistake
"Murder She Didn't Write","15:00 23:00",Pleasance Courtyard,1:10,19 20 21 21 22 23 24 25 26 27 28 28 29,-,https://tickets.edfringe.com/whats-on/murder-she-didn-t-write
"Nic Sampson: Marathon 1904",16:40,Pleasance Courtyard,1:00,19 20 21 22 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/nic-sampson-marathon-1904
"Nish Kumar: Your Power Your Control",21:00,Assembly George Square,1:00,22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/nish-kumar-your-power-your-control
Patti Harrison,20:30,Pleasance Courtyard,1:00,21 22 23 24 25 26 27,0,https://tickets.edfringe.com/whats-on/patti-harrison
Pauline,12:20,Pleasance Courtyard,1:00,19 20 21 22 23 24 25 26 27 28 29,0,https://tickets.edfringe.com/whats-on/pauline
Pip Utton as Dylan,13:30,Pleasance Courtyard,1:00,19 20 21 22 24 25 26 27 28 29,-,https://tickets.edfringe.com/whats-on/pip-utton-as-dylan
"Please Feel Free to Share",12:50,Pleasance Courtyard,1:00,19 20 21 22 23 24 25 26 27 28 29,-,https://tickets.edfringe.com/whats-on/please-feel-free-to-share
Psychodrama,"11:00 13:30 16:00 18:30",Traverse Theatre,1:05,19 20 21 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/psychodrama
Runners,20:30,ZOO Southside,1:00,19 20 21 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/runners
Sap,12:50,ROUNDABOUT @ Summerhall,1:10,19 20 21 22 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/sap
"Sex Lies & Improvisation",21:15,theSpace @ Symposium Hall,0:50,19 20,-,https://tickets.edfringe.com/whats-on/sex-lies-improvisation
Sex With Friends (and Other Tiny Catastrophes),12:40,Pleasance Courtyard,1:00,19 20 21 22 23 25 26 27 28,0,https://tickets.edfringe.com/whats-on/sex-with-friends-and-other-tiny-catastrophes
Shelf: Hair,19:15,Pleasance Courtyard,1:00,19 20 21 22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/shelf-hair
Silent Treatment,13:50,Summerhall,1:00,19 20 21 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/silent-treatment
Silver Bell,12:55,Pleasance Courtyard,1:00,19 20 21 22 23 24 25 26 27 28,0,https://tickets.edfringe.com/whats-on/silver-bell
Simon & Garfunkel Through the Years,21:20,theSpace @ Symposium Hall,1:00,19 20 21 22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/simon-garfunkel-through-the-years
So My Dad F*cked the Nanny,13:30,PBH's Free Fringe @ Canons' Gait,0:45,19 20 21 22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/so-my-dad-f-cked-the-nanny
Speed Dial,14:20,Pleasance Dome,1:15,19 20 21 22 23 24 25 26 27 28 29,0,https://tickets.edfringe.com/whats-on/speed-dial
Spontaneous Potter: The Unofficial Improvised Parody,17:00,Gilded Balloon Teviot,1:00,19 20 21 22 23 24 25 26 27 28 29,-,https://tickets.edfringe.com/whats-on/spontaneous-potter-the-unofficial-improvised-parody
Spoons,18:00,Gilded Balloon Patter Hoose,1:00,19 20 21 22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/spoons
Tartan Ribbon Comedy Benefit,19:30,Pleasance Courtyard,1:30,,1,https://tickets.edfringe.com/whats-on/tartan-ribbon-comedy-benefit
Tiger Lillies: One Penny Opera,21:20,"Underbelly Bristo Square",1:10,19 20 21 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/tiger-lillies-one-penny-opera
Tomatoes Tried to Kill Me but Banjos Saved My Life,15:00,theSpace @ Surgeons Hall,0:50,19 20 21 22 23 24 25 26 27,-,https://tickets.edfringe.com/whats-on/tomatoes-tried-to-kill-me-but-banjos-saved-my-life
What the Heart Wants,14:00,Gilded Balloon Patter Hoose,1:00,19 20 21 22 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/what-the-heart-wants
Wilf,"10:30 13:45 16:30 19:30",Traverse Theatre,1:20,19 20 21 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/wilf
With The Devil s Assistance,16:45,Scottish Storytelling Centre,0:55,20 22 23 24 26 28,0,https://tickets.edfringe.com/whats-on/with-the-devil-s-assistance
You're Safe Til 2024: Deep History,19:45,Pleasance Courtyard,1:00,19 20 21 22 24 25 26 27 28 29,1,https://tickets.edfringe.com/whats-on/you-re-safe-til-2024-deep-history
