"Jesus Jane Mother & Me",10:50,Pleasance Courtyard,1:10,21 22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/jesus-jane-mother-me
JM Coetzee's Life & Times of Michael K,12:00,Assembly Hall,1:55,22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/jm-coetzee-s-life-times-of-michael-k
John Robins: Howl,20:50,Just the Tonic Nucleus,0:55,22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/john-robins-howl
Just An Ordinary Lawyer,18:00,C ARTS | C venues | C aurora,1:25,,1,https://tickets.edfringe.com/whats-on/just-an-ordinary-lawyer-1
Kathy and Stella Solve a Murder,19:30,"Underbelly George Square",1:30,22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/kathy-and-stella-solve-a-murder
Kieran Hodgson: Big In Scotland,21:30,Pleasance Courtyard,1:00,,-,https://tickets.edfringe.com/whats-on/kieran-hodgson-big-in-scotland-1
Kiki: Deathbed Cabaret,13:15,Gilded Balloon Patter Hoose,1:00,21 22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/kiki-deathbed-cabaret
KING by Pat Kinevane,18:30,Assembly @ Dance Base,1:20,22 23 24 25 26 27,2,https://tickets.edfringe.com/whats-on/king-by-pat-kinevane
"Kravitz Cohen Bernstein and Me",19:00,Assembly Rooms,1:10,21 22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/kravitz-cohen-bernstein-and-me
Lady Dealer,16:00,ROUNDABOUT @ Summerhall,1:00,21 23 24 25 26 27,-,https://tickets.edfringe.com/whats-on/lady-dealer
Last Flapper,13:45,Greenside @ Riddles Court,0:50,,1,https://tickets.edfringe.com/whats-on/last-flapper
Last of the Soviets,17:45,ZOO Playground,1:00,22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/last-of-the-soviets
Lena,12:35,Assembly George Square,1:20,21 22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/lena
Let the Bodies Pile by Henry Naylor,16:00,Gilded Balloon Teviot,1:00,21 22 23 24 25 26 27 28,2,https://tickets.edfringe.com/whats-on/let-the-bodies-pile-by-henry-naylor
